already_been_here_everything_though_off	0
huckleberry_on	1
already_been_here_everything_off	2
Look_around	3
see_kettle_on	4
take_printer_from	5
is_with	6
kettle_on	7
mouse_into	8
printer_on	9
put	10
put_nest_on	11
go	12
take_latchkey_from	13
safe_with	14
see_nest_on	15
arrive_in	16
look	17
put_salad_on	18
gateway_with	19
put_peanut_on	20
ball_into	21
take	22
take_mouse_from	23
take_key_from	24
put_burger_on	25
put_golf_ball_on	26
nest_'	27
disk_on	28
put_type_H_passkey_on	29
better_go	30
mouse_on	31
grape_into	32
box_with	33
put_banana_on	34
burger_on	35
nest_into	36
put_kettle_on	37
take_disk_from	38
already_been_here_and_taken_everything_off	39
can_see	40
contains	41
see_printer_on	42
latchkey_into	43
nest_on	44
been_here_everything_though_off	45
salad_on	46
put_printer_on	47
peanut_into	48
berry_on	49
been_here_and_taken_everything_off	50
ball_on	51
been_everything_off	52
printer_into	53
passkey_into	54
make_out	55
key_into	56
examine	57
key_on	58
is_on	59
take_type_H_passkey_from	60
already_been_everything_though_off	61
salad_into	62
disk_into	63
take_burger_from	64
see_mouse_on	65
put_latchkey_on	66
take_peanut_from	67
already_been_everything_off	68
been_here_and_taken_everything_though_off	69
better_just_go	70
put_mouse_on	71
take_salad_from	72
peanut_on	73
latchkey_on	74
take_kettle_from	75
take_golf_ball_from	76
been	77
take_banana_from	78
see	79
see_disk_on	80
take_grape_from	81
been_here_everything_off	82
see_golf_ball_on	83
been_everything_though_off	84
banana_on	85
put_grape_on	86
kettle_into	87
nest_of	88
take_berry_from	89
take_nest_from	90
just_go	91
put_disk_on	92
already_been_here_and_taken_everything_though_off	93
